title,media,date,datetime,desc,link,img
The sun rises over Normandy's beaches on D-Day's 80th anniversary,AP News,1 hour ago,2024-06-06 06:29:31.332376,The sun is rising again over Normandy beaches where soldiers fought and died exactly 80 years ago on D-Day.,https://apnews.com/article/d-day-france-russia-ukraine-wwii-7b6896a9d891fb2d2f75b29e1cfd67ad&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIBBAC&usg=AOvVaw1uNkC-NgfgPtA4MDDs2MSE,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Slamming China over its stance on Russia and the war, Ukraine might have made a big miscalculation",CNBC,1 hour ago,2024-06-06 06:29:31.351189,"Ukrainian President Volodymyr Zelenskyy's very public criticism of China over its relationship with Russia, and cool stance toward a forthcoming peace...",https://www.cnbc.com/2024/06/06/ukraines-criticism-of-china-and-its-stance-on-russia-could-backfire.html&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQICRAC&usg=AOvVaw2a6AR5W8aHpDPfVdhlqJEM,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Putin warns Russia could provide weapons to strike NATO allies, Western targets",Australian Broadcasting Corporation,1 hour ago,2024-06-06 06:29:31.365780,Russia could arm countries with long-range weapons to strike Western targets in response to NATO allies allowing Ukraine to use their arms to attack Russian...,https://www.abc.net.au/news/2024-06-06/putin-warns-russie-could-provide-weapons-to-strike-west/103944466&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIAxAC&usg=AOvVaw3ep3selsU24gnj-RtVHen9,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Ukraine-bound passenger train collides with freighter in Czechia, at least 4 dead",The Kyiv Independent,2 hours ago,2024-06-06 05:29:31.380362,Ukrainian Railways said there were no fatalities or injuries in the car trains with passengers heading to Chop.,https://kyivindependent.com/ukraine-bound-passenger-train-collides-with-freighter-in-czechia-casualties-reported/&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIBxAC&usg=AOvVaw2qafPFFrr1P4wB1uVxM-Kl,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"General Staff: Russia has lost 515,000 troops in Ukraine since Feb. 24, 2022",The Kyiv Independent,2 hours ago,2024-06-06 05:29:31.394730,This number includes 1300 casualties Russian forces suffered just over the past day.,https://kyivindependent.com/general-staff-russia-has-lost-515-000-troops-in-ukraine-since-feb-24-2022/&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIABAC&usg=AOvVaw1ou0yhMU6fCyfIGPn3M4ru,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Russian war losses in Ukraine reach 515K,Ukrinform,2 hours ago,2024-06-06 05:29:31.409768,"The total combat losses the Russian invasion troops sustained in Ukraine from February 24, 2022 to June 6, 2024 amount to an estimated 515000,...",https://www.ukrinform.net/rubric-ato/3871895-russian-war-losses-in-ukraine-reach-515k.html&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIBhAC&usg=AOvVaw138ujTD4tfJnYtT94zdUCr,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
France to provide Ukraine over $700 million in critical infrastructure support,The Kyiv Independent,2 hours ago,2024-06-06 05:29:31.423915,"The funds will primarily focus on projects related to Ukraine's transportation and energy infrastructure, hit hard by heavy Russian assaults in 2024.",https://kyivindependent.com/france-to-provide-ukraine-over-700-million-in-critical-infrastructure-support/&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIAhAC&usg=AOvVaw1E75kO6cQo3gqIx9y5V36B,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Russia could hand others long-range weapons to strike West: Putin,Euronews.com,2 hours ago,2024-06-06 05:29:31.438970,It comes after NATO allies allowed Ukraine to use similar arms to strike targets deep within Russian territory. ADVERTISEMENT. Russian President Vladimir...,https://www.euronews.com/2024/06/05/putin-warns-germany-ukraine-using-its-weapons-would-be-a-dangerous-step&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIARAC&usg=AOvVaw1NSdDe6hlM3vMsUxUzSf_z,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
At least four dead as Ukraine-bound passenger train collides with freighter in Czechia,Ukrinform,3 hours ago,2024-06-06 04:29:31.453651,"In the Czech Republic, a passenger train heading to Chop, Ukraine, collided with a freight train, leaving four passengers killed and killing four people and...",https://www.ukrinform.net/rubric-emergencies/3871890-at-least-four-dead-as-ukrainebound-passenger-train-collides-with-freighter-in-czechia.html&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIBRAC&usg=AOvVaw14RSSRuwXCVnfQt3gq51w6,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Slovakia's Fico says he was targeted for Ukraine views, in first speech since assassination attempt",AP News,3 hours ago,2024-06-06 04:29:31.470700,Slovakia's populist Prime Minister Robert Fico says he believes he was targeted for having a Ukraine position contrary to the European mainstream but bears...,https://apnews.com/article/slovakia-prime-minister-fico-speech-online-878f0271e2ec3d3c378abe966415e20b&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQICBAC&usg=AOvVaw04-8Wa2uykPy8Bn2q8DjC7,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
